Item Code,Description,Cost
FG Costs 2022,,
January 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.770408
4800088210867,VIRGINIA Sweet Ham 250g,67.023943
4800088270250,VIRGINIA Chicken Hotdog 250g,19.170082
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.70468
,,
February 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.766797
4800088210867,VIRGINIA Sweet Ham 250g,67.082077
4800088270250,VIRGINIA Chicken Hotdog 250g,19.183278
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.74489
,,
March 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.720295
4800088210867,VIRGINIA Sweet Ham 250g,66.982071
4800088270250,VIRGINIA Chicken Hotdog 250g,19.190284
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.660691
,,
April 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.704534
4800088210867,VIRGINIA Sweet Ham 250g,67.006042
4800088270250,VIRGINIA Chicken Hotdog 250g,19.156321
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.613156
,,
May 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.671709
4800088210867,VIRGINIA Sweet Ham 250g,66.962726
4800088270250,VIRGINIA Chicken Hotdog 250g,19.139057
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.528223
,,
June 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.691247
4800088210867,VIRGINIA Sweet Ham 250g,66.871352
4800088270250,VIRGINIA Chicken Hotdog 250g,19.114907
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.516512
,,
July 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.649973
4800088210867,VIRGINIA Sweet Ham 250g,66.895441
4800088270250,VIRGINIA Chicken Hotdog 250g,19.12319
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.450387
,,
August 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.634371
4800088210867,VIRGINIA Sweet Ham 250g,66.849336
4800088270250,VIRGINIA Chicken Hotdog 250g,19.092665
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.387306
,,
September 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.638616
4800088210867,VIRGINIA Sweet Ham 250g,66.748623
4800088270250,VIRGINIA Chicken Hotdog 250g,19.103526
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.395671
,,
October 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.587005
4800088210867,VIRGINIA Sweet Ham 250g,66.658963
4800088270250,VIRGINIA Chicken Hotdog 250g,19.082928
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.432244
,,
November 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.579343
4800088210867,VIRGINIA Sweet Ham 250g,66.688025
4800088270250,VIRGINIA Chicken Hotdog 250g,19.098708
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.429578
,,
December 2022,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.559766
4800088210867,VIRGINIA Sweet Ham 250g,66.591241
4800088270250,VIRGINIA Chicken Hotdog 250g,19.101902
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.347667
,,
,,
,,
FG Costs 2023,,
January 2023,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.800222
4800088210867,VIRGINIA Sweet Ham 250g,66.980623
4800088270250,VIRGINIA Chicken Hotdog 250g,19.208001
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.768993
,,
February 2023,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.795608
4800088210867,VIRGINIA Sweet Ham 250g,66.918378
4800088270250,VIRGINIA Chicken Hotdog 250g,19.194242
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.774228
,,
March 2023,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.776169
